gen,strategy,rms,max_pct,noble_rms,halogen_rms,mono_breaks,n_above_20,elapsed_s,is_best
200,Refine,0,0,0,0,0,0,0.522903,0
201,Block,0,0,0,0,0,0,0.337482,0
202,Shell,0,0,0,0,0,0,0.33894,0
203,Weighted,0,0,0,0,0,0,0.326539,0
204,Fresh,0,0,0,0,0,0,0.313796,0
205,Explore,0,0,0,0,0,0,0.325657,0
206,Refine,0,0,0,0,0,0,0.49302,0
207,Block,0,0,0,0,0,0,0.341816,0
208,Shell,0,0,0,0,0,0,0.339882,0
209,Weighted,0,0,0,0,0,0,0.315441,0
210,Fresh,0,0,0,0,0,0,0.326812,0
211,Explore,0,0,0,0,0,0,0.344223,0
212,Refine,0,0,0,0,0,0,0.509407,0
213,Block,0,0,0,0,0,0,0.339822,0
214,Shell,0,0,0,0,0,0,0.335791,0
215,Weighted,0,0,0,0,0,0,0.316648,0
216,Fresh,0,0,0,0,0,0,0.322161,0
217,Explore,0,0,0,0,0,0,0.313648,0
218,Refine,0,0,0,0,0,0,0.494403,0
219,Block,0,0,0,0,0,0,0.33834,0
220,Shell,0,0,0,0,0,0,0.340416,0
221,Weighted,0,0,0,0,0,0,0.338239,0
222,Fresh,0,0,0,0,0,0,0.302397,0
223,Explore,0,0,0,0,0,0,0.324543,0
224,Refine,0,0,0,0,0,0,0.544802,0
225,Block,0,0,0,0,0,0,0.340586,0
226,Shell,0,0,0,0,0,0,0.343954,0
227,Weighted,0,0,0,0,0,0,0.329792,0
228,Fresh,0,0,0,0,0,0,0.32576,0
229,Explore,0,0,0,0,0,0,0.329737,0
230,Refine,0,0,0,0,0,0,0.496243,0
231,Block,0,0,0,0,0,0,0.335027,0
232,Shell,0,0,0,0,0,0,0.338697,0
233,Weighted,0,0,0,0,0,0,0.343194,0
234,Fresh,0,0,0,0,0,0,0.315589,0
235,Explore,0,0,0,0,0,0,0.328914,0
236,Refine,0,0,0,0,0,0,0.49527,0
237,Block,0,0,0,0,0,0,0.337998,0
238,Shell,0,0,0,0,0,0,0.334738,0
239,Weighted,0,0,0,0,0,0,0.336646,0
240,Fresh,0,0,0,0,0,0,0.322319,0
241,Explore,0,0,0,0,0,0,0.326498,0
242,Refine,0,0,0,0,0,0,0.49472,0
243,Block,0,0,0,0,0,0,0.336436,0
244,Shell,0,0,0,0,0,0,0.339373,0
245,Weighted,0,0,0,0,0,0,0.311598,0
246,Fresh,0,0,0,0,0,0,0.315497,0
247,Explore,0,0,0,0,0,0,0.313079,0
248,Refine,0,0,0,0,0,0,0.496993,0
249,Block,0,0,0,0,0,0,0.336027,0
250,Shell,0,0,0,0,0,0,0.3391,0
251,Weighted,0,0,0,0,0,0,0.317141,0
252,Fresh,0,0,0,0,0,0,0.337729,0
253,Explore,0,0,0,0,0,0,0.359213,0
254,Refine,0,0,0,0,0,0,0.467159,0
255,Block,0,0,0,0,0,0,0.404127,0
256,Shell,0,0,0,0,0,0,0.33833,0
257,Weighted,0,0,0,0,0,0,0.330543,0
258,Fresh,0,0,0,0,0,0,0.301123,0
259,Explore,0,0,0,0,0,0,0.32314,0
260,Refine,0,0,0,0,0,0,0.49216,0
261,Block,0,0,0,0,0,0,0.335655,0
262,Shell,0,0,0,0,0,0,0.336301,0
263,Weighted,0,0,0,0,0,0,0.317374,0
264,Fresh,0,0,0,0,0,0,0.332653,0
265,Explore,0,0,0,0,0,0,0.302955,0
266,Refine,0,0,0,0,0,0,0.491971,0
267,Block,0,0,0,0,0,0,0.355903,0
268,Shell,0,0,0,0,0,0,0.33303,0
269,Weighted,0,0,0,0,0,0,0.31867,0
270,Fresh,0,0,0,0,0,0,0.321697,0
271,Explore,0,0,0,0,0,0,0.319516,0
272,Refine,0,0,0,0,0,0,0.513585,0
273,Block,0,0,0,0,0,0,0.340712,0
274,Shell,0,0,0,0,0,0,0.334164,0
275,Weighted,0,0,0,0,0,0,0.318522,0
276,Fresh,0,0,0,0,0,0,0.322317,0
277,Explore,0,0,0,0,0,0,0.319053,0
278,Refine,0,0,0,0,0,0,0.472964,0
279,Block,0,0,0,0,0,0,0.335648,0
280,Shell,0,0,0,0,0,0,0.335352,0
281,Weighted,0,0,0,0,0,0,0.320554,0
282,Fresh,0,0,0,0,0,0,0.33234,0
283,Explore,0,0,0,0,0,0,0.325138,0
284,Refine,0,0,0,0,0,0,0.483832,0
285,Block,0,0,0,0,0,0,0.334492,0
286,Shell,0,0,0,0,0,0,0.341409,0
287,Weighted,0,0,0,0,0,0,0.310102,0
288,Fresh,0,0,0,0,0,0,0.31003,0
289,Explore,0,0,0,0,0,0,0.32158,0
290,Refine,0,0,0,0,0,0,0.471968,0
291,Block,0,0,0,0,0,0,0.334829,0
292,Shell,0,0,0,0,0,0,0.334947,0
293,Weighted,0,0,0,0,0,0,0.317623,0
294,Fresh,0,0,0,0,0,0,0.35759,0
295,Explore,0,0,0,0,0,0,0.321887,0
296,Refine,0,0,0,0,0,0,0.466553,0
297,Block,0,0,0,0,0,0,0.345678,0
298,Shell,0,0,0,0,0,0,0.338488,0
299,Weighted,0,0,0,0,0,0,0.370663,0
300,Fresh,0,0,0,0,0,0,0.358454,0
301,Explore,0,0,0,0,0,0,0.301135,0
302,Refine,0,0,0,0,0,0,0.512505,0
303,Block,0,0,0,0,0,0,0.340446,0
304,Shell,0,0,0,0,0,0,0.350562,0
305,Weighted,0,0,0,0,0,0,0.339109,0
306,Fresh,0,0,0,0,0,0,0.319914,0
307,Explore,0,0,0,0,0,0,0.314106,0
308,Refine,0,0,0,0,0,0,0.551902,0
309,Block,0,0,0,0,0,0,0.368768,0
310,Shell,0,0,0,0,0,0,0.33769,0
311,Weighted,0,0,0,0,0,0,0.332256,0
312,Fresh,0,0,0,0,0,0,0.346116,0
313,Explore,0,0,0,0,0,0,0.312666,0
314,Refine,0,0,0,0,0,0,0.473957,0
315,Block,0,0,0,0,0,0,0.35501,0
316,Shell,0,0,0,0,0,0,0.337546,0
317,Weighted,0,0,0,0,0,0,0.338668,0
318,Fresh,0,0,0,0,0,0,0.320285,0
319,Explore,0,0,0,0,0,0,0.325879,0
320,Refine,0,0,0,0,0,0,0.501703,0
321,Block,0,0,0,0,0,0,0.345861,0
322,Shell,0,0,0,0,0,0,0.339955,0
323,Weighted,0,0,0,0,0,0,0.329354,0
324,Fresh,0,0,0,0,0,0,0.31459,0
325,Explore,0,0,0,0,0,0,0.325304,0
326,Refine,0,0,0,0,0,0,0.501113,0
327,Block,0,0,0,0,0,0,0.345348,0
328,Shell,0,0,0,0,0,0,0.358789,0
329,Weighted,0,0,0,0,0,0,0.330721,0
330,Fresh,0,0,0,0,0,0,0.306845,0
331,Explore,0,0,0,0,0,0,0.332728,0
332,Refine,0,0,0,0,0,0,0.585406,0
333,Block,0,0,0,0,0,0,0.352348,0
334,Shell,0,0,0,0,0,0,0.34088,0
335,Weighted,0,0,0,0,0,0,0.325278,0
336,Fresh,0,0,0,0,0,0,0.327304,0
337,Explore,0,0,0,0,0,0,0.325805,0
338,Refine,0,0,0,0,0,0,0.531137,0
339,Block,0,0,0,0,0,0,0.35317,0
340,Shell,0,0,0,0,0,0,0.380312,0
341,Weighted,0,0,0,0,0,0,0.316253,0
342,Fresh,0,0,0,0,0,0,0.328731,0
343,Explore,0,0,0,0,0,0,0.347254,0
