step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
31,0,38.563173,0.000000,-68.553602,0.300878,0.000000,-0.662176,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00201124,0.00000000,0.00659031,0.00000000,0.00000000,-0.01000000,-0.00121031,-0.00000000,0.00215156
32,0,40.077575,0.000000,-71.880210,0.304801,0.000000,-0.668295,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00197120,0.00000000,0.00665322,0.00000000,0.00000000,-0.01000000,-0.00120284,-0.00000000,0.00215732
33,0,41.611185,0.000000,-75.236555,0.308564,0.000000,-0.674081,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00193278,0.00000000,0.00671269,0.00000000,0.00000000,-0.01000000,-0.00119604,-0.00000000,0.00216254
34,0,43.163215,0.000000,-78.621019,0.312171,0.000000,-0.679552,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00189594,0.00000000,0.00676893,0.00000000,0.00000000,-0.01000000,-0.00118985,-0.00000000,0.00216730
35,0,44.732896,0.000000,-82.032077,0.315627,0.000000,-0.684727,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00186064,0.00000000,0.00682212,0.00000000,0.00000000,-0.01000000,-0.00118421,-0.00000000,0.00217163
36,0,46.319488,0.000000,-85.468292,0.318938,0.000000,-0.689623,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00182682,0.00000000,0.00687243,0.00000000,0.00000000,-0.01000000,-0.00117906,-0.00000000,0.00217559
37,0,47.922274,0.000000,-88.928306,0.322107,0.000000,-0.694255,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00179443,0.00000000,0.00692003,0.00000000,0.00000000,-0.01000000,-0.00117435,-0.00000000,0.00217921
38,0,49.540562,0.000000,-92.410839,0.325141,0.000000,-0.698638,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00176342,0.00000000,0.00696507,0.00000000,0.00000000,-0.01000000,-0.00117004,-0.00000000,0.00218254
39,0,51.173684,0.000000,-95.914682,0.328044,0.000000,-0.702785,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00173375,0.00000000,0.00700769,0.00000000,0.00000000,-0.01000000,-0.00116609,-0.00000000,0.00218559
40,0,52.820998,0.000000,-99.438693,0.330820,0.000000,-0.706711,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00170537,0.00000000,0.00704802,0.00000000,0.00000000,-0.01000000,-0.00116246,-0.00000000,0.00218841
41,0,54.481885,0.000000,-102.981793,0.333475,0.000000,-0.710427,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00167823,0.00000000,0.00708620,0.00000000,0.00000000,-0.01000000,-0.00115914,-0.00000000,0.00219100
42,0,56.155749,0.000000,-106.542964,0.336013,0.000000,-0.713945,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00165227,0.00000000,0.00712234,0.00000000,0.00000000,-0.01000000,-0.00115608,-0.00000000,0.00219339
43,0,57.842018,0.000000,-110.121240,0.338439,0.000000,-0.717275,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00162746,0.00000000,0.00715655,0.00000000,0.00000000,-0.01000000,-0.00115326,-0.00000000,0.00219561
44,0,59.540142,0.000000,-113.715713,0.340758,0.000000,-0.720428,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00160375,0.00000000,0.00718895,0.00000000,0.00000000,-0.01000000,-0.00115067,-0.00000000,0.00219766
45,0,61.249594,0.000000,-117.325521,0.342972,0.000000,-0.723414,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00158110,0.00000000,0.00721962,0.00000000,0.00000000,-0.01000000,-0.00114828,-0.00000000,0.00219956
46,0,62.969865,0.000000,-120.949849,0.345088,0.000000,-0.726241,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00155946,0.00000000,0.00724866,0.00000000,0.00000000,-0.01000000,-0.00114607,-0.00000000,0.00220133
47,0,64.700472,0.000000,-124.587927,0.347108,0.000000,-0.728918,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00153879,0.00000000,0.00727616,0.00000000,0.00000000,-0.01000000,-0.00114404,-0.00000000,0.00220297
48,0,66.440947,0.000000,-128.239028,0.349037,0.000000,-0.731453,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00151905,0.00000000,0.00730220,0.00000000,0.00000000,-0.01000000,-0.00114216,-0.00000000,0.00220450
49,0,68.190844,0.000000,-131.902461,0.350879,0.000000,-0.733855,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00150021,0.00000000,0.00732687,0.00000000,0.00000000,-0.01000000,-0.00114042,-0.00000000,0.00220593
50,0,69.949736,0.000000,-135.577574,0.352637,0.000000,-0.736129,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00148222,0.00000000,0.00735023,0.00000000,0.00000000,-0.01000000,-0.00113881,-0.00000000,0.00220726
51,0,71.717214,0.000000,-139.263750,0.354315,0.000000,-0.738283,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00146505,0.00000000,0.00737235,0.00000000,0.00000000,-0.01000000,-0.00113732,-0.00000000,0.00220850
52,0,73.492884,0.000000,-142.960405,0.355916,0.000000,-0.740324,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00144866,0.00000000,0.00739331,0.00000000,0.00000000,-0.01000000,-0.00113594,-0.00000000,0.00220966
