step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
3,7,3.128630,1.994666,2.207085,0.115827,0.001079,0.001373,1.375423,6.0000,-0.085254,0.137542,0.276497,0.021952,0.207020,1.006586,0.995610,1.017561,0.00598797,-0.00000955,-0.00001197,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
4,0,-1.994387,-2.390087,-2.464143,0.052890,-0.000895,-0.001190,1.073872,6.0000,-0.166487,0.107387,0.222342,0.022025,0.164865,1.006608,0.995595,1.017620,0.00213306,0.00000829,0.00001078,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
4,1,-1.453351,-2.103389,1.999928,0.058159,-0.001539,0.001259,1.382334,6.0000,-0.106370,0.138233,0.262420,0.022313,0.200327,1.006694,0.995537,1.017851,0.00237206,0.00001416,-0.00001140,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
4,2,-0.604238,2.314512,-2.323095,0.149282,0.000982,-0.001647,1.380333,7.0000,0.025657,0.138033,0.350438,0.028555,0.244236,1.008567,0.994289,1.022844,0.00596966,-0.00000896,0.00001486,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
4,3,-0.580080,2.091019,1.922300,0.144359,0.001655,0.001518,1.547749,7.0000,0.165207,0.154775,0.443471,0.034984,0.299123,1.010495,0.993003,1.027987,0.00579071,-0.00001499,-0.00001371,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
4,4,2.854700,-2.525476,-2.540498,0.051878,-0.000807,-0.001288,1.224041,7.0000,-0.173653,0.122404,0.217565,0.019736,0.169984,1.005921,0.996053,1.015789,0.00200685,0.00000729,0.00001162,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
4,5,2.685458,-2.260456,1.922577,0.058218,-0.001573,0.001121,1.527800,7.0000,-0.272429,0.152780,0.151714,0.017709,0.152247,1.005313,0.996458,1.014167,0.00221454,0.00001431,-0.00001011,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
4,6,3.878386,2.389847,-2.026425,0.153284,0.000878,-0.001485,1.204140,6.0000,0.244599,0.120414,0.496399,0.033571,0.308407,1.010071,0.993286,1.026857,0.00600885,-0.00000806,0.00001344,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
4,7,3.783558,2.000684,2.214830,0.145406,0.001300,0.001712,1.330618,6.0000,-0.085254,0.133062,0.276497,0.026466,0.204780,1.007940,0.994707,1.021173,0.00569083,-0.00001203,-0.00001549,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
5,0,-1.703916,-2.394891,-2.470649,0.063027,-0.001003,-0.001403,1.018921,5.0000,-0.234174,0.101892,0.177217,0.024927,0.139555,1.007478,0.995015,1.019942,0.00202417,0.00000961,0.00001301,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
5,1,-1.134042,-2.111703,2.006818,0.069251,-0.001749,0.001488,1.326628,6.0000,-0.106370,0.132663,0.262420,0.026640,0.197541,1.007992,0.994672,1.021312,0.00224968,0.00001663,-0.00001378,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
5,2,0.216157,2.319851,-2.332133,0.178152,0.001141,-0.001958,1.379292,7.0000,0.025657,0.137929,0.350438,0.033879,0.244184,1.010164,0.993224,1.027103,0.00567906,-0.00001068,0.00001808,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
5,3,0.213357,2.100072,1.930623,0.172326,0.001944,0.001801,1.555750,7.0000,0.165207,0.155575,0.443471,0.041516,0.299523,1.012455,0.991697,1.033212,0.00551320,-0.00001811,-0.00001665,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
5,4,3.139640,-2.529903,-2.547569,0.061831,-0.000956,-0.001532,1.243757,7.0000,-0.173653,0.124376,0.217565,0.023470,0.170970,1.007041,0.995306,1.018776,0.00190022,0.00000885,0.00001414,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
5,5,3.005137,-2.269033,1.928733,0.069348,-0.001836,0.001335,1.529554,7.0000,-0.272429,0.152955,0.151714,0.021033,0.152335,1.006310,0.995793,1.016827,0.00209161,0.00001715,-0.00001231,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
5,6,4.720727,2.394593,-2.034557,0.182904,0.001001,-0.001757,1.147241,5.0000,0.259129,0.114724,0.506086,0.040406,0.310405,1.012122,0.991919,1.032325,0.00570991,-0.00000949,0.00001626,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
5,7,4.582695,2.007668,2.224210,0.173546,0.001459,0.002026,1.271598,6.0000,-0.085254,0.127160,0.276497,0.030796,0.201829,1.009239,0.993841,1.024636,0.00540939,-0.00001397,-0.00001876,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
6,0,-1.364115,-2.400117,-2.478171,0.072635,-0.001066,-0.001596,0.965828,5.0000,-0.234174,0.096583,0.177217,0.027692,0.136900,1.008308,0.994462,1.022153,0.00192028,0.00001045,0.00001504,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
6,1,-0.760837,-2.120879,2.014803,0.079738,-0.001879,0.001697,1.234309,6.0000,-0.106370,0.123431,0.262420,0.030745,0.192925,1.009224,0.993851,1.024596,0.00213271,0.00001835,-0.00001597,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
6,2,1.177283,2.325918,-2.342674,0.205610,0.001277,-0.002247,1.368347,7.0000,0.025657,0.136835,0.350438,0.039058,0.243636,1.011717,0.992188,1.031246,0.00540367,-0.00001213,0.00002108,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
6,3,1.143177,2.110460,1.940309,0.198942,0.002190,0.002063,1.544363,7.0000,0.165207,0.154436,0.443471,0.047872,0.298954,1.014362,0.990426,1.038297,0.00525082,-0.00002078,-0.00001937,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
6,4,3.473011,-2.535037,-2.555817,0.071264,-0.001092,-0.001759,1.247433,7.0000,-0.173653,0.124743,0.217565,0.027116,0.171154,1.008135,0.994577,1.021693,0.00179822,0.00001027,0.00001650,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
6,5,3.378939,-2.278820,1.935932,0.079885,-0.002061,0.001538,1.519668,7.0000,-0.272429,0.151967,0.151714,0.024263,0.151840,1.007279,0.995147,1.019410,0.00197358,0.00001957,-0.00001440,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
6,6,5.707424,2.399856,-2.043994,0.211064,0.001085,-0.002007,1.089542,5.0000,0.259129,0.108954,0.506086,0.047001,0.307520,1.014100,0.990600,1.037601,0.00542646,-0.00001053,0.00001888,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
6,7,5.519015,2.015273,2.235087,0.200310,0.001546,0.002311,1.177267,6.0000,-0.085254,0.117727,0.276497,0.034902,0.197112,1.010471,0.993020,1.027922,0.00514263,-0.00001521,-0.00002175,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
7,0,-0.977569,-2.405550,-2.486607,0.081740,-0.001090,-0.001769,0.901347,5.0000,-0.234174,0.090135,0.177217,0.030309,0.133676,1.009093,0.993938,1.024247,0.00182136,0.00001087,0.00001687,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
7,1,-0.336658,-2.130491,2.023784,0.089664,-0.001925,0.001886,1.149403,5.0000,-0.032684,0.114940,0.311544,0.035251,0.213242,1.010575,0.992950,1.028201,0.00202115,0.00001922,-0.00001796,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
7,2,2.272255,2.332620,-2.354605,0.231728,0.001402,-0.002514,1.344351,7.0000,0.025657,0.134435,0.350438,0.044079,0.242437,1.013224,0.991184,1.035264,0.00514268,-0.00001340,0.00002386,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
7,3,2.202782,2.121967,1.951254,0.224272,0.002401,0.002304,1.514822,7.0000,0.165207,0.151482,0.443471,0.054034,0.297477,1.016210,0.989193,1.043228,0.00500276,-0.00002302,-0.00002189,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
7,4,3.852284,-2.540824,-2.565157,0.080203,-0.001223,-0.001969,1.233852,7.0000,-0.173653,0.123385,0.217565,0.030656,0.170475,1.009197,0.993869,1.024525,0.00170063,0.00001157,0.00001868,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
7,5,3.803992,-2.289644,1.944117,0.089862,-0.002262,0.001729,1.494394,7.0000,-0.272429,0.149439,0.151714,0.027382,0.150577,1.008214,0.994524,1.021905,0.00186025,0.00002165,-0.00001637,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
