step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
4,1,-1.453186,-2.103181,1.999801,0.058180,-0.001516,0.001244,1.382592,6.0000,-0.106370,0.138259,0.262420,0.022314,0.200340,1.000000,1.000000,1.000000,0.00237210,0.00001396,-0.00001127,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
4,2,-0.604090,2.314402,-2.322863,0.149299,0.000969,-0.001619,1.380630,7.0000,0.025657,0.138063,0.350438,0.028556,0.244251,1.000000,1.000000,1.000000,0.00596941,-0.00000885,0.00001463,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000
4,3,-0.579897,2.090803,1.922082,0.144379,0.001630,0.001492,1.548151,7.0000,0.165207,0.154815,0.443471,0.034985,0.299143,1.000000,1.000000,1.000000,0.00579033,-0.00001478,-0.00001350,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
4,4,2.854629,-2.525393,-2.540390,0.051870,-0.000797,-0.001275,1.224249,7.0000,-0.173653,0.122425,0.217565,0.019736,0.169995,1.000000,1.000000,1.000000,0.00200700,0.00000721,0.00001152,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
4,5,2.685312,-2.260288,1.922487,0.058201,-0.001554,0.001110,1.528086,7.0000,-0.272429,0.152809,0.151714,0.017710,0.152261,1.000000,1.000000,1.000000,0.00221485,0.00001415,-0.00001002,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
4,6,3.878214,2.389746,-2.026217,0.153263,0.000866,-0.001461,1.204400,6.0000,0.244599,0.120440,0.496399,0.033572,0.308420,1.000000,1.000000,1.000000,0.00600892,-0.00000797,0.00001324,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
4,7,3.783357,2.000549,2.214596,0.145382,0.001286,0.001685,1.330913,6.0000,-0.085254,0.133091,0.276497,0.026466,0.204794,1.000000,1.000000,1.000000,0.00569089,-0.00001191,-0.00001526,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
5,0,-1.703752,-2.394725,-2.470446,0.063044,-0.000989,-0.001384,1.019147,5.0000,-0.234174,0.101915,0.177217,0.024928,0.139566,1.000000,1.000000,1.000000,0.00202419,0.00000948,0.00001285,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
5,1,-1.133746,-2.111358,2.006605,0.069283,-0.001719,0.001467,1.327055,6.0000,-0.106370,0.132706,0.262420,0.026641,0.197563,1.000000,1.000000,1.000000,0.00224976,0.00001635,-0.00001361,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
5,2,0.216403,2.319669,-2.331738,0.178175,0.001124,-0.001920,1.379778,7.0000,0.025657,0.137978,0.350438,0.033880,0.244208,1.000000,1.000000,1.000000,0.00567868,-0.00001053,0.00001775,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
5,3,0.213655,2.099708,1.930253,0.172352,0.001910,0.001765,1.556397,7.0000,0.165207,0.155640,0.443471,0.041517,0.299555,1.000000,1.000000,1.000000,0.00551260,-0.00001781,-0.00001634,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
5,4,3.139524,-2.529762,-2.547386,0.061821,-0.000943,-0.001514,1.244087,7.0000,-0.173653,0.124409,0.217565,0.023471,0.170987,1.000000,1.000000,1.000000,0.00190045,0.00000874,0.00001399,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000
5,5,3.004895,-2.268754,1.928579,0.069326,-0.001811,0.001320,1.530028,7.0000,-0.272429,0.153003,0.151714,0.021034,0.152358,1.000000,1.000000,1.000000,0.00209208,0.00001693,-0.00001218,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000
5,6,4.720429,2.394426,-2.034205,0.182874,0.000986,-0.001724,1.147630,5.0000,0.259129,0.114763,0.506086,0.040407,0.310425,1.000000,1.000000,1.000000,0.00571000,-0.00000936,0.00001598,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
5,7,4.582347,2.007450,2.223814,0.173511,0.001441,0.001988,1.272089,6.0000,-0.085254,0.127209,0.276497,0.030797,0.201853,1.000000,1.000000,1.000000,0.00540947,-0.00001380,-0.00001844,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
6,0,-1.363853,-2.399875,-2.477861,0.072657,-0.001050,-0.001572,0.966152,5.0000,-0.234174,0.096615,0.177217,0.027693,0.136916,1.000000,1.000000,1.000000,0.00192033,0.00001030,0.00001483,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000
6,1,-0.760351,-2.120367,2.014476,0.079783,-0.001843,0.001671,1.234971,6.0000,-0.106370,0.123497,0.262420,0.030747,0.192959,1.000000,1.000000,1.000000,0.00213284,0.00001802,-0.00001574,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000
6,2,1.177656,2.325644,-2.342060,0.205638,0.001256,-0.002197,1.369090,7.0000,0.025657,0.136909,0.350438,0.039060,0.243674,1.000000,1.000000,1.000000,0.00540314,-0.00001195,0.00002064,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
6,3,1.143620,2.109906,1.939734,0.198975,0.002147,0.002017,1.545316,7.0000,0.165207,0.154532,0.443471,0.047874,0.299001,1.000000,1.000000,1.000000,0.00524998,-0.00002040,-0.00001896,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
